"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","2","1","0.000000","0","0"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","0","3","1","0.000000","0","0"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","0","6","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","0","8","1","0.000000","0","0"
"/OpenXR/Devices/M_XRController.M_XRController","0","0","9","3","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","4","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","46","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","46","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","0","623","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","0","45","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","30","1","0.000000","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","0","2","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","90","2","0.000000","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","6","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","72","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","27","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","43","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","571","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","23","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Table.Table","0","0","3","1","0.000000","0","0"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Pot_1.Pot_1","0","0","3","1","0.000000","0","0"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Beam.Beam","0","0","3","1","0.000000","0","0"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerYellow_M.PlantFlowerYellow_M","0","0","3","1","0.000000","0","0"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerWhite_M.PlantFlowerWhite_M","0","0","3","1","0.000000","0","0"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerRed_M.PlantFlowerRed_M","0","0","3","1","0.000000","0","0"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerPurple_M.PlantFlowerPurple_M","0","0","3","1","0.000000","0","0"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerPink_M.PlantFlowerPink_M","0","0","3","1","0.000000","0","0"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerOrange_M.PlantFlowerOrange_M","0","0","3","1","0.000000","0","0"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerBlue_M.PlantFlowerBlue_M","0","0","3","1","0.000000","0","0"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerBlack_M.PlantFlowerBlack_M","0","0","3","1","0.000000","0","0"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerBAD_M.PlantFlowerBAD_M","0","0","3","1","0.000000","0","0"
"/Game/MoveableObjects/CollisionBAD_M.CollisionBAD_M","0","0","3","1","0.000000","0","0"
"/Game/MoveableObjects/CollisionOK_M.CollisionOK_M","0","0","3","1","0.000000","0","0"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Pot_2.Pot_2","0","0","3","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Bench.Bench","0","0","3","1","0.000000","0","0"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Black.Black","0","0","3","1","0.000000","0","0"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Brick.Brick","0","0","3","1","0.000000","0","0"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Bucket.Bucket","0","0","3","1","0.000000","0","0"
